no_punggung;id_jabatan_duta;id_jabatan_manajer_group;id_manager_group;Id_manager area
017001;5;;017004;017168
017002;5;;017004;017168
017003;5;;017004;017168
017004;5;4;017004;017168
017005;5;;017004;017168
017006;5;;017004;017168
017007;5;;017004;017168
017008;5;;017004;017168
017009;5;;017010;017168
017010;5;4;017010;017168
017011;5;;017010;017168
017012;5;;017010;017168
017013;5;;017010;017168
017014;5;;017010;017168
017015;5;;017010;017168
017016;5;;017017;017168
017017;5;4;017017;017168
017018;5;;017017;017168
017019;5;;017017;017168
017020;5;;017017;017168
017021;5;;017026;017168
017022;5;;017026;017168
017023;5;;017026;017168
017024;5;;017026;017168
017025;5;;017026;017168
017026;5;4;017026;017168
017027;5;;017026;017168
017028;5;;017029;017168
017029;5;4;017029;017168
017030;5;;017029;017168
017031;5;;017029;017168
017032;5;;017029;017168
017033;5;;017029;017168
017034;5;;017029;017168
017035;5;;017029;017168
017036;5;;017039;017168
017037;5;;017039;017168
017038;5;;017039;017168
017039;5;4;017039;017168
017040;5;;017043;017168
017041;5;;017043;017168
017042;5;;017043;017168
017043;5;4;017043;017168
017044;5;;017043;017168
017045;5;;017043;017168
017046;5;;017043;017168
017047;5;;017053;017168
017048;5;;017053;017168
017049;5;;017053;017168
017050;5;;017053;017168
017051;5;;017053;017168
017052;5;;017053;017168
017053;5;4;017053;017168
017054;5;;017053;017168
017055;5;;017053;017168
017056;5;;017059;017168
017057;5;;017059;017168
017058;5;;017059;017168
017059;5;4;017059;017168
017060;5;;017059;017168
017061;5;;017059;017168
017062;5;;017059;017168
017063;5;;017066;017168
017064;5;;017066;017168
017065;5;;017066;017168
017066;5;4;017066;017168
017067;5;;017066;017168
017068;5;;017066;017168
017069;5;;017066;017168
017070;5;4;017070;017168
017071;5;;017070;017168
017072;5;;017070;017168
017073;5;;017070;017168
017074;5;;017070;017168
017075;5;;017070;017168
017076;5;;017078;017168
017077;5;;017078;017168
017078;5;4;017078;017168
017079;5;;017078;017168
017080;5;;017078;017168
017081;5;;017078;017168
017082;5;;017078;017168
017083;5;;017086;017168
017084;5;;017086;017168
